City,Cloud Coverage,City Country,City DateTime,Humidity,City Latitude,City Longitude,Max Temperature,Wind Speed
Faanui,100,PF,1637639093,74,-16.4833,-151.75,81.34,8.84
Tuktoyaktuk,40,CA,1637639093,77,69.4541,-133.0374,-5.8,10.36
Hilo,90,US,1637639094,96,19.7297,-155.09,73.13,4.61
Saint-Joseph,17,RE,1637639094,67,-21.3667,55.6167,77.36,4.83
Wagar,18,SD,1637639095,75,16.1525,36.2032,71.24,10.36
Ust-Nera,64,RU,1637639095,99,64.5667,143.2,-21.62,3.4
Norman Wells,75,CA,1637639096,69,65.282,-126.8329,-18.36,3.44
Flinders,100,AU,1637639096,73,-34.5833,150.8552,72.37,7.43
San Cristobal,58,VE,1637639097,98,7.7669,-72.225,69.98,1.43
Alofi,75,NU,1637639097,61,-19.0595,-169.9187,84.09,9.22
Ushuaia,75,AR,1637639098,70,-54.8,-68.3,38.86,11.5
Bredasdorp,22,ZA,1637639098,77,-34.5322,20.0403,51.28,3.24
Guerrero Negro,100,MX,1637639098,54,27.9769,-114.0611,69.51,7.92
Westport,1,US,1637639046,58,41.1415,-73.3579,39.79,1.99
Namatanai,95,PG,1637639099,76,-3.6667,152.4333,82.27,8.97
Yangi Marg`ilon,5,UZ,1637639099,56,40.4272,71.7189,40.42,2.3
Carnarvon,0,AU,1637639100,53,-24.8667,113.6333,77.07,19.57
Puro,47,PH,1637639100,72,12.4841,123.3827,84.99,12.06
Fortuna,90,US,1637639101,94,40.5982,-124.1573,49.93,0.0
Korla,7,CN,1637639101,50,41.7597,86.1469,31.86,3.06
Lompoc,1,US,1637639102,36,34.6391,-120.4579,69.57,0.0
Maceió,40,BR,1637638857,88,-9.6658,-35.7353,76.44,3.44
Hermanus,12,ZA,1637639102,80,-34.4187,19.2345,51.8,8.19
Avarua,75,CK,1637639103,73,-21.2078,-159.775,77.05,5.75
Fuxin,0,CN,1637639103,56,42.0156,121.6589,24.1,13.04
Hithadhoo,100,MV,1637639104,79,-0.6,73.0833,81.12,17.96
Dawei,65,MM,1637639104,55,14.0833,98.2,89.22,6.6
Mount Isa,97,AU,1637639104,19,-20.7333,139.5,98.37,10.36
Novomykolayivka,100,UA,1637639105,81,47.9781,35.9102,39.45,9.78
Methóni,100,GR,1637639106,77,36.8197,21.7049,62.22,4.16
Chui,8,UY,1637639106,67,-33.6971,-53.4616,63.55,16.58
Rikitea,1,PF,1637639106,76,-23.1203,-134.9692,75.9,11.36
George Town,20,MY,1637638981,84,5.4112,100.3354,85.93,0.0
New Norfolk,100,AU,1637639107,43,-42.7826,147.0587,75.7,1.99
Qaanaaq,97,GL,1637639107,87,77.484,-69.3632,-7.44,6.42
Kailua,90,US,1637638922,73,21.4022,-157.7394,82.38,13.8
Bubaque,5,GW,1637638844,77,11.2833,-15.8333,82.13,8.21
Mataura,83,NZ,1637639108,47,-46.1927,168.8643,61.97,6.46
Mora,30,CM,1637639109,30,11.0461,14.1401,71.17,2.06
Torbay,40,CA,1637639109,84,47.6666,-52.7314,38.26,13.8
Saint Paul Harbor,1,US,1637639110,53,57.79,-152.4072,17.11,6.91
Mar del Plata,0,AR,1637638944,61,-38.0023,-57.5575,57.09,1.99
Kapaa,90,US,1637639110,78,22.0752,-159.319,80.58,1.01
Busselton,0,AU,1637639111,42,-33.65,115.3333,71.15,10.04
Jérémie,62,HT,1637639111,83,18.65,-74.1167,78.01,3.42
Talnakh,100,RU,1637639112,89,69.4865,88.3972,7.14,8.12
Port Lincoln,99,AU,1637639112,65,-34.7333,135.8667,66.9,15.75
Punta Arenas,75,CL,1637639112,65,-53.15,-70.9167,39.31,2.3
Upernavik,8,GL,1637639113,87,72.7868,-56.1549,2.28,6.26
Longyearbyen,20,SJ,1637639113,78,78.2186,15.6401,1.24,10.36
Diego de Almagro,100,CL,1637639114,38,-26.3667,-70.05,61.81,3.18
Rognan,100,NO,1637639114,92,67.0953,15.3878,35.89,9.15
Vaini,40,TO,1637639115,79,-21.2,-175.2,84.36,5.75
